Position,Title,TotalScore,ListsAppeared
1,Elden Ring (2022),138,10
2,God of War Ragnarök (2022),119,9
3,Astro Bot (2024),85,7
4,Marvel's Spider-Man 2 (2023),75,8
5,Final Fantasy VII Rebirth (2023),71,9
6,Baldur's Gate 3 (2020),69,6
7,Ratchet & Clank: Rift Apart (2021),48,6
8,Alan Wake II (2023),46,6
9,Returnal (2021),45,6
10,Horizon Forbidden West (2022),42,6
11,Hades (2019),38,4
12,Demon's Souls (2020),38,7
13,Resident Evil 4 (2023),37,6
14,Persona 5 Royal (2019),36,3
15,Astro's Playroom (2020),30,4
16,Deathloop (2021),22,2
17,Gran Turismo 7 (2022),21,4
18,The Witcher 3: Wild Hunt - Complete Edition (2016),17,3
19,Ghost of Tsushima: Director's Cut (2021),17,3
20,The Last of Us Part I (2022),15,3
21,Disco Elysium: The Final Cut (2021),15,2
22,The Last of Us Part II: Remastered (2024),14,2
23,Metaphor: ReFantazio (2024),14,3
24,Helldivers 2 (2024),13,2
25,Kentucky Route Zero: TV Edition (2020),13,1
26,Final Fantasy VII Remake Intergrade (2021),12,2
27,Elden Ring: Shadow of the Erdtree (2024),12,1
28,Street Fighter 6 (2023),12,3
29,Norco (2022),12,1
30,Kingdom Come: Deliverance II (2025),11,1
31,Grand Theft Auto V (2013),10,1
32,Control: Ultimate Edition (2020),10,1
33,Resident Evil 2 (2019),10,1
34,Dead Space (2023),10,2
35,Sackboy: A Big Adventure (2020),10,1
36,Octopath Traveler II (2023),10,1
37,Marvel's Spider-Man Remastered (2020),9,1
38,Cyberpunk 2077: Ultimate Edition (2023),8,1
39,Cyberpunk 2077 (2020),8,3
40,Final Fantasy XIV Online (2013),8,1
41,Tetris Effect: Connected (2020),7,1
42,Disco Elysium (2019),7,1
43,Uncharted: Legacy of Thieves Collection (2022),7,1
44,Marvel's Spider-Man: Miles Morales (2020),7,1
45,Star Wars Jedi: Survivor (2023),7,1
46,Balatro (2024),6,1
47,Hogwarts Legacy (2023),6,2
48,Resident Evil Village (2021),6,1
49,Thank Goodness You're Here! (2024),5,1
50,Mortal Kombat 11: Ultimate (2020),5,1
51,Dragon's Dogma II (1970),4,1
52,Final Fantasy XVI (2023),4,1
53,Like a Dragon: Infinite Wealth (2024),4,1
54,Citizen Sleeper (2022),3,1
55,Tekken 8 (1970),3,1
56,Animal Well (2024),3,1
57,Clair Obscur: Expedition 33 (2025),2,1
58,Slay the Princess: The Pristine Cut (2024),1,1
59,A Plague Tale: Innocence (2019),1,1
60,Indiana Jones and the Great Circle (2024),1,1
61,Silent Hill 2 (1970),1,1
