Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Hades,2019-12-10,113112,15,95,co39vc
2,Norco,2022-03-24,129097,14,155,co3nu3
3,Control: Ultimate Edition,2020-08-27,136604,13,358,co2ewb
4,Psychonauts 2,2021-08-24,14741,12,362,co1sod
5,A Plague Tale: Innocence,2019-05-14,27316,11,406,co1lat
6,Citizen Sleeper,2022-05-05,152271,10,250,co4zl5
7,Elden Ring,2022-02-25,119133,9,10,co4jni
8,Disco Elysium: The Final Cut,2021-03-30,141540,8,431,co2ve1
9,Immortality,2022-08-30,152288,7,271,co55cl
10,Pentiment,2022-11-15,204623,6,254,co4v1e
11,Forza Horizon 5,2021-11-09,141503,5,360,co3ofx
12,Death's Door,2021-07-20,145099,4,598,co45xc
13,Hitman Trilogy,2022-01-20,187552,3,716,co4d8o
14,Ori and the Will of the Wisps,2020-03-10,37001,2,369,co2e1l
15,Tony Hawk's Pro Skater 1+2,2020-09-04,133887,1,717,co25u7
